Type,DN,di,U-Value,U-Value_extra_insulation,v_max,max_volumeFlow
PEX DUO,PEX 20,20.4,0.129,0.129,0.6,0.19611077980768923
PEX DUO,PEX 25,26.2,0.169,0.143,1.0,0.5391287152825444
PEX DUO,PEX 32,32.6,0.191,0.159,1.1,0.9181587273454994
PEX DUO,PEX 40,40.8,0.178,0.151,1.2,1.5688862384615139
PEX DUO,PEX 50,51.4,0.213,0.178,1.4,2.9049867444773314
PEX DUO,PEX 65,61.4,0.243,0.243,1.6,4.737471456130951
PEX UNO,PEX 80,73.6,0.19,0.162,1.8,7.658046783355393
PEX UNO,PEX 100,90.0,0.274,0.218,1.9,12.08727773468673
KMR UNO,KMR 100,107.1,0.2308,0.1943,1.6,14.41414231586516
KMR UNO,KMR 125,132.5,0.262,0.2228,1.8,24.819563711063612
KMR UNO,KMR 150,160.3,0.3074,0.2534,2.1,42.38148997424064
KMR UNO,KMR 200,210.1,0.3361,0.2677,2.4,83.20572859841229
KMR UNO,KMR 250,263.0,0.3823,0.2983,2.7,146.67805502290287
KMR UNO,KMR 300,312.7,0.4417,0.3413,3.0,230.39173674189982
