name,schluessel,gemeinde,gmdschl,bbox
Balve,51034,Balve,5962008,"(416505.92, 5685668.71, 422227.29, 5690223.0)"
Vormholz,51089,Witten,5954036,"(380475.86, 5693082.57, 383527.55, 5698615.73)"
Westherbede,51090,Witten,5954036,"(378439.01, 5694901.96, 381162.14, 5698480.18)"
Altenbochum,51091,Bochum,5911000,"(377254.55, 5702010.05, 379576.9, 5705900.9)"
Hofstede,51099,Bochum,5911000,"(373529.9, 5706407.14, 376775.23, 5708921.14)"
Eisborn,51037,Balve,5962008,"(419790.95, 5691583.05, 423970.97, 5694681.83)"
Garbeck,51038,Balve,5962008,"(414492.32, 5683338.15, 420348.72, 5688907.79)"
Küntrop,51039,Neuenrade,5962048,"(415675.08, 5679396.13, 419006.34, 5684546.01)"
Langenholthausen,51040,Balve,5962008,"(419458.23, 5682599.94, 425727.58, 5686683.71)"
Laer,51101,Bochum,5911000,"(378239.26, 5701183.19, 381629.37, 5705008.86)"
Querenburg,51102,Bochum,5911000,"(377421.41, 5698372.93, 381893.42, 5702880.48)"
Riemke,51103,Bochum,5911000,"(374696.13, 5707394.58, 377719.21, 5709389.17)"
Weitmar,51105,Bochum,5911000,"(372282.48, 5697998.78, 376542.53, 5704714.92)"
Wiemelhausen,51106,Bochum,5911000,"(374411.89, 5700160.28, 379017.43, 5704419.35)"
Breitenbruch,51044,Arnsberg,5958004,"(435573.02, 5696433.29, 440399.58, 5700118.52)"
Freienohl,51045,Meschede,5958032,"(438860.9, 5690303.68, 443156.24, 5693941.4)"
Grevenstein,51046,Meschede,5958032,"(437000.27, 5679756.83, 440842.32, 5685719.81)"
Hellefeld,51047,Sundern (Sauerl.),5958044,"(432988.25, 5685978.08, 438501.87, 5690477.4)"
Sevinghausen,51157,Bochum,5911000,"(368587.48, 5701193.39, 370849.83, 5703964.33)"
Wattenscheid,51159,Bochum,5911000,"(368837.99, 5703747.72, 373021.26, 5706649.3)"
Westenfeld,51160,Bochum,5911000,"(370184.44, 5702433.18, 373183.04, 5704962.25)"
Witten,51161,Witten,5954036,"(381710.81, 5698074.07, 386924.65, 5702640.65)"
Altenbüren,51162,Brilon,5958012,"(462948.06, 5691197.99, 466893.63, 5699367.9)"
Oeventrop,51051,Arnsberg,5958004,"(438686.46, 5691635.67, 445081.61, 5699354.37)"
Uentrop,51053,Arnsberg,5958004,"(435547.84, 5693893.28, 439916.63, 5698199.1)"
Westenfeld,51055,Sundern (Sauerl.),5958044,"(430970.93, 5684948.54, 435011.39, 5689628.98)"
Hachen,51061,Sundern (Sauerl.),5958044,"(427372.25, 5687140.13, 433291.16, 5694163.52)"
Herdringen,51062,Arnsberg,5958004,"(425101.67, 5694419.89, 429610.76, 5698781.05)"
Holzen,51063,Arnsberg,5958004,"(422530.32, 5691718.56, 428275.78, 5699595.89)"
Hövel,51064,Sundern (Sauerl.),5958044,"(423771.76, 5688660.28, 428151.63, 5692845.52)"
Müschede,51068,Arnsberg,5958004,"(427389.12, 5693777.51, 433598.98, 5697449.93)"
